article_id,x,y,label
15427,2.2598875,0.53821665,3
15428,3.8636367,1.5718621,5
15429,2.3013554,2.4960966,0
15430,0.8366728,3.1229455,4
15431,3.1852946,2.7131004,1
15432,0.5260257,2.6393878,4
15433,3.762887,1.1604265,3
15434,0.87744546,1.3913573,9
15435,2.638419,3.730607,0
15436,0.8415147,2.2091784,2
15437,2.8253438,1.1053237,8
15523,3.431605,3.2707958,6
15438,2.5176315,2.1788728,1
15439,2.1332948,3.0487452,0
15440,1.5052329,2.686077,1
15441,2.1017199,1.7465816,5
15442,2.3263862,4.277328,0
15443,1.2143646,0.9056797,5
15444,1.5093783,1.8781832,1
15445,0.3528631,2.2906358,4
15446,1.3711193,2.4602609,1
15461,1.4664705,1.1866133,1
15447,3.313746,1.1114495,5
15448,1.0848374,3.3309453,4
15449,2.8227255,0.65010965,8
15450,2.30814,1.1016653,1
15451,1.8637451,2.1704264,1
15452,1.0860343,3.6390154,4
15453,3.1710925,1.4087662,8
15454,2.053064,0.23601156,3
15455,0.7178368,0.8144996,2
15456,1.7023929,1.3255923,0
15457,2.810686,2.8531315,2
15458,4.141443,2.3942053,0
15459,2.6698956,0.37359348,8
15460,2.5926974,1.5442559,10
15498,3.1541083,2.3208425,10
15462,2.2093823,1.4651823,5
15463,3.078916,2.3260965,6
15464,1.3325481,2.5061738,1
15465,2.8075614,4.024516,0
15466,3.3103483,3.1601362,6
15499,3.2548401,0.48727173,3
15467,1.5046092,3.8807828,2
15468,1.8233825,0.79230505,3
15469,2.6466439,1.3832027,10
15470,4.005518,0.89320946,3
15471,1.7614956,1.4017751,0
15472,3.8911543,0.7172006,3
15473,0.75494134,2.0574937,2
15474,2.5002267,0.6882129,3
15475,3.2399378,1.6958277,10
15476,0.3051771,1.0334694,2
15477,0.6333535,0.84478396,2
15478,2.4708734,3.793955,0
15479,2.4061093,3.0739293,2
15480,1.8405703,3.4347646,0
15481,1.249642,1.4090611,9
15482,0.68939316,3.505262,2
15483,3.2733521,3.5754113,7
15484,3.3924098,2.10097,1
15485,2.9728765,0.8340566,3
15486,4.005552,2.27923,7
15487,3.159768,1.1823974,5
15488,1.8341521,2.4215026,1
15489,0.63871723,1.5631303,9
15514,2.7777083,4.137999,0
15490,2.1091626,3.4628599,0
15491,0.81396973,2.901191,4
15492,3.5071826,1.9362215,7
15493,1.0201459,1.7775755,1
15494,3.7793982,2.5506153,6
15495,4.3061266,1.2584536,3
15496,4.011422,2.9186795,7
15497,1.5905002,2.247598,1
15500,2.8572934,1.9702176,2
15501,0.42012474,0.94101655,2
15502,1.0152057,3.4437587,4
15503,3.594026,2.8731632,6
15504,1.9943737,4.038837,0
15505,1.3272908,2.225363,1
15506,3.7419229,3.5776973,7
15507,4.574993,2.2721741,1
15508,4.2402883,1.7037188,1
15509,3.9950342,1.8882046,5
15510,4.3877773,1.999548,7
15511,3.5363524,2.6492574,6
15512,1.8994936,3.901516,0
15513,1.3329675,1.8808103,9
15515,4.457986,2.5088053,0
15516,2.5998974,2.0025916,8
15517,2.968029,2.3711524,6
15518,1.7628891,3.158699,0
15519,1.911342,1.6806966,5
15520,2.4790823,4.365443,0
15521,0.3570566,1.7424889,4
15522,0.41577792,2.4290113,1
15524,2.328573,3.071338,0
15525,3.0332694,0.51846784,8
15526,4.179561,0.8418067,3
